,role,skill,job_count,role_job_count,skill_demand_pct,requirement_level
963,Android Developer,java,12,16,75.0,Core
964,Android Developer,kotlin,10,16,62.5,Core
965,Android Developer,android development,7,16,43.75,Common
966,Android Developer,agile,6,16,37.5,Common
967,Android Developer,communication,5,16,31.25,Common
968,Android Developer,git,5,16,31.25,Common
969,Android Developer,design patterns,5,16,31.25,Common
970,Android Developer,scrum,3,16,18.75,Supporting
971,Android Developer,sqlite,3,16,18.75,Supporting
972,Android Developer,go,3,16,18.75,Supporting
973,Android Developer,react native,3,16,18.75,Supporting
974,Android Developer,react,3,16,18.75,Supporting
975,Android Developer,unit testing,2,16,12.5,Supporting
976,Android Developer,soap,2,16,12.5,Supporting
977,Android Developer,c,2,16,12.5,Supporting
978,Android Developer,gitlab,1,16,6.25,Supporting
979,Android Developer,ci/cd,1,16,6.25,Supporting
980,Android Developer,encryption,1,16,6.25,Supporting
981,Android Developer,python,1,16,6.25,Supporting
982,Android Developer,system design,1,16,6.25,Supporting
983,Android Developer,linux,1,16,6.25,Supporting
984,Android Developer,rtos,1,16,6.25,Supporting
985,Android Developer,teamwork,1,16,6.25,Supporting
986,Android Developer,waterfall,1,16,6.25,Supporting
987,Android Developer,spring boot,1,16,6.25,Supporting
988,Android Developer,angular,1,16,6.25,Supporting
989,Android Developer,jenkins,1,16,6.25,Supporting
990,Android Developer,jira,1,16,6.25,Supporting
991,Android Developer,svn,1,16,6.25,Supporting
992,Android Developer,flutter,1,16,6.25,Supporting
993,Android Developer,swift,1,16,6.25,Supporting
994,Android Developer,leadership,1,16,6.25,Supporting
995,Android Developer,problem solving,1,16,6.25,Supporting
996,Android Developer,collaboration,1,16,6.25,Supporting
997,Android Developer,integration testing,1,16,6.25,Supporting
998,Android Developer,data structures and algorithms,1,16,6.25,Supporting
999,Android Developer,github,1,16,6.25,Supporting
1000,Android Developer,ui design,1,16,6.25,Supporting
1001,Android Developer,sql,1,16,6.25,Supporting
1002,Android Developer,rest api,1,16,6.25,Supporting
1061,Application Developer,communication,9,18,50.0,Core
1062,Application Developer,sql,7,18,38.88888888888889,Common
1063,Application Developer,java,7,18,38.88888888888889,Common
1064,Application Developer,oracle,6,18,33.33333333333333,Common
1065,Application Developer,javascript,6,18,33.33333333333333,Common
1066,Application Developer,css,6,18,33.33333333333333,Common
1067,Application Developer,c,5,18,27.77777777777778,Common
1068,Application Developer,go,5,18,27.77777777777778,Common
1069,Application Developer,html,4,18,22.22222222222222,Common
1070,Application Developer,python,4,18,22.22222222222222,Common
1071,Application Developer,angular,3,18,16.666666666666664,Supporting
1072,Application Developer,leadership,3,18,16.666666666666664,Supporting
1073,Application Developer,mongodb,3,18,16.666666666666664,Supporting
1074,Application Developer,collaboration,3,18,16.666666666666664,Supporting
1075,Application Developer,excel,3,18,16.666666666666664,Supporting
1076,Application Developer,agile,3,18,16.666666666666664,Supporting
1077,Application Developer,object-oriented programming,2,18,11.11111111111111,Supporting
1078,Application Developer,apache,2,18,11.11111111111111,Supporting
1079,Application Developer,mysql,2,18,11.11111111111111,Supporting
1080,Application Developer,apache spark,2,18,11.11111111111111,Supporting
1081,Application Developer,r,2,18,11.11111111111111,Supporting
1082,Application Developer,typescript,1,18,5.555555555555555,Supporting
