,skill,job_count,demand_pct,category
0,communication,2815,44.52000632611102,Soft Skills
1,python,2472,39.09536612367547,Programming Languages
2,sql,2086,32.990668986240706,Programming Languages
3,agile,1648,26.063577415783644,Project Management & Methodologies
4,c,1454,22.995413569508145,Programming Languages
5,java,1381,21.840898307765304,Programming Languages
6,leadership,1349,21.334809425905423,Soft Skills
7,collaboration,1284,20.30681638462755,Soft Skills
8,javascript,1023,16.17902894195793,Programming Languages
9,machine learning,874,13.822552585797881,Data Science & Machine Learning
10,ci/cd,752,11.893088723707102,DevOps & CI/CD
11,go,706,11.165585956033528,Programming Languages
12,kubernetes,702,11.102324845801045,DevOps & CI/CD
13,linux,688,10.880910959987347,Operating Systems
14,docker,667,10.548790131266804,DevOps & CI/CD
15,git,618,9.773841530918867,Version Control & Collaboration
16,html,584,9.236122093942749,Web Development - Frontend
17,r,565,8.935631820338447,Programming Languages
18,react,550,8.698402656966628,Web Development - Frontend
19,mentoring,489,7.7336707259212405,Soft Skills
20,excel,480,7.591333227898149,Business & Analytics Tools
21,scrum,447,7.069429068480152,Project Management & Methodologies
22,etl,436,6.8954610153408185,Data Engineering & Big Data
23,statistics,423,6.6898624070852435,Data Science & Machine Learning
24,oracle,408,6.452633243713427,Databases
25,terraform,407,6.436817966155306,DevOps & CI/CD
26,windows,406,6.421002688597185,Operating Systems
27,problem solving,406,6.421002688597185,Soft Skills
28,microservices,401,6.341926300806579,Web Development - Backend
29,jenkins,379,5.993990194527914,DevOps & CI/CD
30,typescript,368,5.820022141388581,Programming Languages
31,css,354,5.598608255574885,Web Development - Frontend
32,data pipelines,345,5.456270757551795,Data Engineering & Big Data
33,teamwork,330,5.219041594179978,Soft Skills
34,angular,327,5.171595761505614,Web Development - Frontend
35,design patterns,318,5.029258263482524,API & Architecture
36,scala,318,5.029258263482524,Programming Languages
37,kafka,314,4.965997153250039,Data Engineering & Big Data
38,jira,314,4.965997153250039,Version Control & Collaboration
39,tableau,313,4.950181875691919,Business & Analytics Tools
40,data visualization,296,4.6813221572038595,Data Science & Machine Learning
41,artificial intelligence,288,4.554799936738889,Data Science & Machine Learning
42,power bi,274,4.333386050925194,Business & Analytics Tools
43,github,270,4.2701249406927095,Version Control & Collaboration
44,powershell,261,4.127787442669619,Programming Languages
45,risk management,261,4.127787442669619,Project Management & Methodologies
46,snowflake,254,4.017080499762771,Databases
47,node.js,247,3.906373556855923,Web Development - Backend
48,bash,244,3.858927724181559,Programming Languages
49,unix,241,3.8114818915071957,Operating Systems
50,microsoft azure,237,3.7482207812747115,Cloud Platforms
51,less,232,3.6691443934841055,Web Development - Frontend
52,ansible,232,3.6691443934841055,DevOps & CI/CD
53,infrastructure as code,227,3.5900680056935004,DevOps & CI/CD
54,mysql,218,3.4477305076704092,Databases
55,system design,216,3.416099952554167,API & Architecture
56,unit testing,213,3.368654119879804,Testing & QA
57,data warehousing,213,3.368654119879804,Data Engineering & Big Data
58,product management,212,3.352838842321683,Project Management & Methodologies
59,hadoop,191,3.0207180136011385,Data Engineering & Big Data
60,databricks,191,3.0207180136011385,Data Engineering & Big Data
61,apache,187,2.957456903368654,DevOps & CI/CD
62,deep learning,183,2.8941957931361695,Data Science & Machine Learning
63,pytorch,183,2.8941957931361695,Data Science & Machine Learning
64,rest api,180,2.846749960461806,API & Architecture
65,graphql,178,2.8151194053455635,API & Architecture
66,postgresql,172,2.7202277399968366,Databases
67,tensorflow,168,2.6569666297643524,Data Science & Machine Learning
68,firewalls,166,2.62533607464811,Cybersecurity
69,critical thinking,158,2.498813854183141,Soft Skills
70,mongodb,156,2.4671832990668987,Databases
71,gitlab,156,2.4671832990668987,Version Control & Collaboration
72,spring boot,153,2.4197374663925353,Web Development - Backend
73,network security,149,2.3564763561600506,Cybersecurity
74,decision making,144,2.2773999683694446,Soft Skills
75,amazon web services,138,2.1825083030207177,Cloud Platforms
76,ruby,133,2.103431915230112,Programming Languages
77,time management,133,2.103431915230112,Soft Skills
78,computer vision,132,2.087616637671991,Data Science & Machine Learning
79,confluence,129,2.040170804997628,Version Control & Collaboration
80,presentation skills,128,2.0243555274395066,Soft Skills
81,encryption,124,1.9610944172070222,Cybersecurity
82,natural language processing,124,1.9610944172070222,Data Science & Machine Learning
83,tcp/ip,124,1.9610944172070222,Networking
84,selenium,122,1.9294638620907796,Testing & QA
85,siem,121,1.9136485845326585,Cybersecurity
86,airflow,117,1.850387474300174,Data Engineering & Big Data
87,dns,117,1.850387474300174,Networking
88,shell scripting,116,1.8345721967420527,Programming Languages
89,object-oriented programming,108,1.7080499762770835,API & Architecture
90,kotlin,104,1.644788866044599,Programming Languages
91,redis,104,1.644788866044599,Databases
92,salesforce,102,1.6131583109283567,Business & Analytics Tools
93,google cloud platform,102,1.6131583109283567,Cloud Platforms
94,hive,100,1.5815277558121146,Data Engineering & Big Data
95,soap,99,1.5657124782539933,Web Development - Backend
96,sap,96,1.5182666455796299,Business & Analytics Tools
97,swift,95,1.5024513680215088,Programming Languages
